Building for debugging...
[0/3] Write swift-version--58304C5D6DBC2206.txt
Build of product 'App' complete! (0.18s)
[ INFO ] GET /api/chat/unread [request-id: 7D03C0BE-49DF-463A-89EE-F4264BF3E1CE]
[ INFO ] GET /api/chat/unread [request-id: 4E4A452E-2FEF-4FDC-8A8F-2FD6D32E2899]
[ INFO ] GET /api/chat/unread [request-id: 58123788-1D9C-4FEF-8E0F-5C68C47D3970]
[ INFO ] GET /api/chat/unread [request-id: A135AD32-1B6D-499D-8EC8-A74507F7B373]
[ INFO ] GET /api/chat/unread [request-id: 93EA3B12-C0CD-467C-AB92-CDC0F01D2665]
[ INFO ] GET /api/chat/unread [request-id: 447DE7BD-EB6D-4E50-84C0-A9F479CE4834]
[ INFO ] GET /api/pdf/list [request-id: 94FC954D-D711-4126-A488-9D337987657F]
[ INFO ] GET /api/pdf/list [request-id: EB0C7EED-E6CD-4317-919F-3B901A35F70A]
[ INFO ] GET /api/chat/unread [request-id: 175932A4-4A8F-4212-B5E0-D317DD971D33]
[ INFO ] GET /api/chat/unread [request-id: 0C760816-49AF-4DE0-BF75-21ECD9780C2B]
[ INFO ] GET /api/chat/unread [request-id: 3B954490-8858-4AC0-9E36-E5A40704472D]
[ INFO ] GET /api/chat/unread [request-id: 40B0956A-9C9F-4216-A824-815893B3423A]
[ INFO ] GET /api/chat/unread [request-id: 8EC6C8DF-CBBC-4EBF-A74B-3A06C8B2599E]
[ INFO ] GET /api/chat/unread [request-id: A01ADAAF-3997-420F-ACC7-3A90E9023920]
[ INFO ] GET /api/chat/unread [request-id: 79236211-4D97-4E82-9A53-C5A02C060481]
[ INFO ] GET /api/system-prompt [request-id: 7FB063EB-01F8-420F-A4AE-0EAC704A635B]
[ INFO ] GET /api/chat/unread [request-id: B23CCAEC-327C-4E5E-ADC1-B0C6885F8B27]
[ INFO ] GET /api/chat/unread [request-id: 142C61BC-A4C6-4F0C-9774-982BCAB4EEB8]
[ INFO ] GET /api/chat/unread [request-id: 655465F0-910D-4CC2-A969-7C2C10C7C17F]
[ INFO ] GET /api/chat/unread [request-id: 2FD7ACD1-EA9E-4B14-98D1-3E35F093C424]
[ INFO ] GET /api/chat/unread [request-id: CA031D17-A1ED-496D-B8DE-0CDBB3AC3AE9]
[ INFO ] GET /api/chat/unread [request-id: 7EA23389-617E-464A-9E85-8ED4151F4BAB]
[ INFO ] GET /api/chat/unread [request-id: 326588CF-8911-4A9F-B2DC-E6E521614E6B]
